City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,mwinilunga,-11.7358,24.4293,69.91,83,100,2.48,ZM,1704524726
276,yima,34.7381,111.8839,48.33,22,0,5.46,CN,1704524726
277,ipubi,-7.6519,-40.1489,75.18,60,78,2.82,BR,1704524727
278,baile herculane,44.8797,22.4125,49.78,69,88,4.16,RO,1704524728
279,maceio,-9.6658,-35.7353,76.44,100,20,4.61,BR,1704524728
280,hassi messaoud,31.6804,6.0729,51.66,50,20,19.57,DZ,1704524380
281,springbok,-29.6643,17.8865,65.55,38,4,2.57,ZA,1704524730
282,grande prairie,55.1667,-118.8027,12.58,96,42,2.13,CA,1704524730
283,bandipura,34.4167,74.65,51.84,16,0,2.24,IN,1704524731
284,sheopur,25.6667,76.7,68.11,47,0,5.79,IN,1704524731
285,isfana,39.8386,69.5306,36.16,72,100,3.15,KG,1704524732
286,zelenoborskiy,66.845,32.3622,-9.13,96,95,3.67,RU,1704524733
287,aginskoye,51.1,114.53,0.72,73,0,6.67,RU,1704524734
288,phongsali,21.6833,102.1058,71.62,40,98,1.68,LA,1704524734
289,changling,44.2653,124.0005,10.83,76,12,9.17,CN,1704524735
290,saint-felix-de-valois,46.1668,-73.4324,19.29,74,53,8.25,CA,1704524735
291,cill airne,52.05,-9.5167,40.1,90,86,2.15,IE,1704524736
292,visby,57.6409,18.296,25.02,68,100,13.8,SE,1704524737
293,bikenibeu village,1.3673,173.1241,83.14,76,87,12.59,KI,1704524737
294,ambon,-3.6954,128.1814,87.94,74,40,8.05,ID,1704524647
295,dawson creek,55.7666,-120.2362,13.96,97,37,3.18,CA,1704524739
296,laiwu,36.1928,117.6569,36.99,31,0,13.2,CN,1704524509
297,ulsteinvik,62.3432,5.8487,27.75,70,31,3.0,NO,1704524740
298,hastings,50.8552,0.5729,41.99,82,82,12.84,GB,1704524741
299,rossosh',51.1209,38.5116,13.51,91,100,8.97,RU,1704524741
300,nova vicosa,-17.8919,-39.3719,75.38,95,100,5.82,BR,1704524724
301,banjarmasin,-3.3244,114.591,93.34,67,100,2.91,ID,1704524608
302,kapuskasing,49.4169,-82.4331,2.17,83,100,5.26,CA,1704524743
303,sam phran,13.727,100.2153,96.01,38,11,4.65,TH,1704524547
304,tongouson,5.0214,120.1328,84.51,70,100,5.08,PH,1704524744
305,geraldton,-28.7667,114.6,91.81,29,16,20.71,AU,1704524716
306,seguin,29.5688,-97.9647,48.9,77,0,8.05,US,1704524745
307,luena,-11.7833,19.9167,65.32,96,100,3.29,AO,1704524233
308,mahina,-17.5065,-149.489,82.17,74,75,3.44,PF,1704524184
309,crane,31.3974,-102.3501,43.3,50,80,4.52,US,1704524747
310,dunedin,-45.8742,170.5036,54.81,91,9,4.0,NZ,1704524748
311,luganville,-15.5333,167.1667,80.55,84,100,2.71,VU,1704524327
312,khrenovoye,51.12,40.2889,14.11,90,100,9.64,RU,1704524749
313,ust-tsilma,65.441,52.1498,-4.4,97,96,5.99,RU,1704524750
314,dakhla,23.6848,-15.958,65.05,58,100,12.1,EH,1704524751
315,puerto aysen,-45.4,-72.7,46.54,99,41,3.98,CL,1704524752
316,fisterra,42.9049,-9.2629,52.25,69,21,7.87,ES,1704524753
317,grenaa,56.4158,10.8783,22.95,90,34,16.71,DK,1704524753
318,kukawa,12.9234,13.5606,70.23,46,48,9.48,NG,1704524754
319,korla,41.7597,86.1469,28.87,57,85,2.95,CN,1704524636
320,libreville,0.3925,9.4537,77.02,94,20,3.44,GA,1704524685
321,markapur,15.7333,79.2833,82.58,49,60,9.91,IN,1704524659
322,san borja,-14.8167,-66.85,73.76,98,100,1.88,BO,1704524209
323,fenghua,29.6563,121.4064,59.72,45,6,7.7,CN,1704524541
324,shulan,44.4167,126.95,11.03,91,91,5.35,CN,1704524639
325,rio grande,-32.035,-52.0986,71.94,85,56,14.43,BR,1704524758
326,madimba,-10.4,40.3333,82.87,74,98,2.28,TZ,1704524759
327,nguigmi,14.2495,13.1092,66.58,29,5,10.42,NE,1704524759
328,al ghayzah,16.2079,52.176,78.55,37,37,3.91,YE,1704524760
329,saldanha,-33.0117,17.9442,68.5,66,53,9.78,ZA,1704524576
330,zambezi,-13.5432,23.1047,73.49,80,66,1.72,ZM,1704524762
331,punta cardon,11.6581,-70.215,78.04,83,89,20.56,VE,1704524762
332,baringo,0.4667,35.9667,81.01,41,38,1.88,KE,1704524708
333,gamba,-2.65,10.0,78.33,79,100,5.01,GA,1704524764
334,nsanje,-16.92,35.262,80.96,73,100,2.01,MW,1704524764
335,culiacan,24.7994,-107.3897,54.93,59,100,3.22,MX,1704524765
336,huntingburg,38.2989,-86.955,39.85,70,100,8.05,US,1704524766
337,zalesovo,53.9939,84.7431,26.83,89,100,16.2,RU,1704524767
338,mersa matruh,31.3525,27.2453,60.53,58,100,8.28,EG,1704524768
339,maragogi,-9.0122,-35.2225,81.46,67,100,9.93,BR,1704524699
340,kavaratti,10.5669,72.642,82.22,76,48,10.09,IN,1704524751
341,panjab,34.388,67.0233,30.09,67,13,4.45,AF,1704524769
342,berezovyy,51.6667,135.7,-4.47,98,86,0.43,RU,1704524222
343,gulsehir,38.7459,34.6252,35.92,80,0,11.5,TR,1704524770
344,alaghsas,17.0187,8.0168,64.54,18,8,9.01,NE,1704524771
345,langepas,61.2544,75.2124,-11.65,97,10,7.07,RU,1704524772
346,carnarvon,-24.8667,113.6333,83.19,58,0,14.92,AU,1704524772
347,krasnokamsk,58.0802,55.7541,-20.04,99,87,1.83,RU,1704524499
348,lebork,54.5392,17.7501,27.95,84,49,6.31,PL,1704524774
349,tekman,39.6436,41.5078,30.11,90,33,4.88,TR,1704524774
350,turkmenbasy,40.0222,52.9552,51.03,83,100,2.26,TM,1704524719
351,san antonio de pale,-1.4014,5.6325,81.37,73,24,13.69,GQ,1704524776
352,ouani,-12.1322,44.4258,81.75,83,100,14.83,KM,1704524679
353,nuuk,64.1835,-51.7216,13.62,78,100,9.1,GL,1704524777
354,atbasar,51.8,68.3333,26.38,97,99,7.16,KZ,1704524775
355,sao jose da coroa grande,-8.8978,-35.1478,81.45,67,100,9.84,BR,1704524778
356,vacha,55.8008,42.7706,-10.39,97,93,2.57,RU,1704524778
357,pervomayskiy,53.2485,40.2871,1.51,96,100,4.76,RU,1704524779
358,port saint john's,-31.6229,29.5448,82.4,59,0,10.67,ZA,1704524780
359,wuwei,37.9281,102.6414,32.02,30,0,3.38,CN,1704524680
360,monte alegre,-2.0078,-54.0692,74.46,97,100,2.13,BR,1704524769
361,patong,7.8961,98.2966,89.74,66,100,4.65,TH,1704524782
362,new norfolk,-42.7826,147.0587,71.1,57,91,5.48,AU,1704524783
363,massawa,15.6097,39.45,79.84,68,14,5.32,ER,1704524549
